match_id,date,stage,team1,team2,goals1,goals2,source,source_row,shootout,yellow1,yellow2,red1,red2,corners1,corners2,xg1,xg2,shots1,shots2,sot1,sot2,fouls1,fouls2,total_goals,total_shots,total_yellow,total_corners,min,max,rank_gap,split
WC26_058,2026-06-26,GROUP STAGE,Norway,France,1,4,TSDL,64.0,False,1,1,0,0,4,5,1.7,1.5,10,18,4,9,9,11,5,28,2,9,3,31,28,test
WC26_059,2026-06-26,GROUP STAGE,Paraguay,Australia,0,0,TSDL,62.0,False,1,1,0,0,1,3,0.24,0.55,7,12,2,5,9,6,0,19,2,4,27,41,14,test
WC26_060,2026-06-26,GROUP STAGE,Senegal,Iraq,5,0,TSDL,65.0,False,2,2,0,1,12,3,3.01,1.04,28,6,12,1,10,11,5,34,4,15,15,57,42,train
WC26_061,2026-06-26,GROUP STAGE,Tunisia,Netherlands,1,3,TSDL,61.0,False,0,0,0,0,4,6,0.62,1.85,10,20,4,7,11,10,4,30,0,10,8,45,37,train
WC26_062,2026-06-26,GROUP STAGE,Türkiye,USA,3,2,TSDL,63.0,False,0,1,0,0,2,9,3.01,2.13,9,18,3,7,13,13,5,27,1,11,17,22,5,train
WC26_063,2026-06-27,GROUP STAGE,Cabo Verde,Saudi Arabia,0,0,TSDL,66.0,False,1,3,0,0,4,2,1.39,0.39,15,7,2,3,10,16,0,22,4,6,61,67,6,train
WC26_064,2026-06-27,GROUP STAGE,Croatia,Ghana,2,1,TSDL,70.0,False,1,1,0,0,3,2,0.42,0.74,8,6,4,1,9,13,3,14,2,5,11,73,62,train
WC26_065,2026-06-27,GROUP STAGE,Egypt,IR Iran,1,1,TSDL,68.0,False,3,4,0,0,8,2,0.84,1.97,15,13,3,4,11,16,2,28,7,10,20,29,9,test
WC26_066,2026-06-27,GROUP STAGE,New Zealand,Belgium,1,5,TSDL,69.0,False,2,0,0,0,5,8,0.25,3.69,6,35,2,10,10,7,6,41,2,13,9,85,76,train
WC26_067,2026-06-27,GROUP STAGE,Panama,England,0,2,TSDL,71.0,False,2,1,0,0,3,7,0.58,1.49,13,17,2,6,16,13,2,30,3,10,4,34,30,train
WC26_068,2026-06-27,GROUP STAGE,Uruguay,Spain,0,1,TSDL,67.0,False,3,1,1,0,1,6,0.2,0.86,5,6,1,1,14,14,1,11,4,7,2,16,14,train
WC26_069,2026-06-28,GROUP STAGE,Algeria,Austria,3,3,TSDL,74.0,False,0,1,0,0,0,3,1.67,1.49,12,10,5,3,3,7,6,22,1,3,24,28,4,train
WC26_070,2026-06-28,GROUP STAGE,Colombia,Portugal,0,0,TSDL,72.0,False,1,0,0,0,5,2,1.7,0.93,24,13,6,2,12,6,0,37,1,7,5,13,8,train
WC26_071,2026-06-28,GROUP STAGE,Congo DR,Uzbekistan,3,1,TSDL,73.0,False,3,2,0,0,2,4,2.18,0.2,19,3,4,1,6,16,4,22,5,6,46,50,4,train
WC26_072,2026-06-28,GROUP STAGE,Jordan,Argentina,1,3,TSDL,75.0,False,3,0,0,0,2,6,0.76,2.13,5,12,1,4,13,7,4,17,3,8,1,63,62,train
WC26_073,2026-06-28,ROUND OF 32,South Africa,Canada,0,1,TSDL,79.0,False,0,2,0,0,1,4,0.14,1.38,6,12,1,7,10,16,1,18,2,5,30,60,30,test
WC26_074,2026-06-29,ROUND OF 32,Brazil,Japan,2,1,TSDL,80.0,False,2,3,0,0,6,2,2.07,0.33,19,5,7,2,4,13,3,24,5,8,6,18,12,test
WC26_075,2026-06-29,ROUND OF 32,Germany,Paraguay,1,1,TSDL,81.0,True,2,2,0,0,16,6,1.57,0.35,21,7,6,3,18,12,2,28,4,22,10,41,31,test
WC26_076,2026-06-29,ROUND OF 32,Netherlands,Morocco,1,1,TSDL,82.0,True,0,1,0,0,5,8,0.24,1.38,6,11,2,5,18,15,2,17,1,13,7,8,1,test
